1.1.1.1	The solution should create a single logical record for each patient.
3.1.2.2	The Clinical Task Tracking capability should provide non-repudiation requirements (IN 1.5) that guarantees that the sources and receivers of data cannot deny that they entered/sent/received the data.
3.1.3.1	The solution should provide the ability to track the status of tasks.
3.1.3.2	The solution should provide the ability to notify providers of the status of tasks.
3.1.3.3	The solution should provide the ability to sort clinical tasks by status.
3.1.3.4	The solution should provide the ability to present current clinical tasks as work lists.
3.1.3.5	The solution should provide the ability to define the presentation of clinical task lists.
3.1.3.6	The Clinical Task Tracking capability should provide non-repudiation requirements (IN 1.5) that guarantees that the sources and receivers of data cannot deny that they entered/sent/received the data.
3.2.1.1	The solution should provide the ability to document in the patient record verbal/telephone communication between providers.
3.2.1.2	The solution should leverage the CCHCS eUHR solution to incorporate scanned documents from external providers into the patient record.
3.2.1.3	The solution should provide the ability to communicate using real-time messaging.
3.2.1.4	The solution should provide the ability to communicate clinical information (e.g. referrals) via email or other electronic means.
3.2.1.5	The solution should provide the ability to transmit electronic multi-media data types representing pictures, sound clips, or video as part of the patient record.
3.2.1.6	The Inter-Provider Communication capability should provide non-repudiation requirements (IN 1.5) that guarantees that the sources and receivers of data cannot deny that they entered/sent/received the data.
3.2.2.1	The solution' Provider - Pharmacy Communication capability should support DC 1.7.1 Manage Medication Orders requirements and provide the ability to order medications.
3.2.2.2	The solution should electronically communicate orders between the prescriber, provider and pharmacy, as necessary, to initiate, change, or renew a medication order.
3.2.2.3	The solution should receive any acknowledgements, prior authorizations, renewals, inquiries and fill notifications provided by the pharmacy or other participants in the electronic prescription and make it available for entry in the patient record.
3.2.2.4	The solution should provide the ability to electronically communicate current realm-specific standards to pharmacies.
3.2.2.5	The solution should provide the ability for providers and pharmacies to communicate clinical information via e-mail or other electronic means, on both general and specific orders.
3.2.2.6	The solution should provide the ability to use secure realtime messaging.
3.2.2.7	The solution should provide the ability to include workflow tasks as part of communication to the provider.
3.2.2.8	The Provider - Pharmacy Communication capability should provide non-repudiation requirements (IN 1.5) that guarantees that the sources and receivers of data cannot deny that they entered/sent/received the data.
3.2.3.1	The solution should provide the ability to capture documentation of communications between providers and patients and/ or the patient representatives.
3.2.3.2	The solution should leverage the CCHCS eUHR solution to incorporate scanned documents.
3.2.3.3	The solution should provide the ability to document communication originating with the patient or patient representative (e.g. date, entity, details of communication).
3.2.3.4	The solution should provide the ability to communicate between providers and patients or their representative using a secure internet connection.
3.2.3.5	The solution should provide the ability to manage documentation regarding family member or patient representative authorizations to receive patient related health information.
3.2.3.6	The solution should alert providers to the presence of patient or patient representative originated communications.
3.2.3.7	The solution should provide the ability to to alert patients or patient representative to provider absences (e.g. vacations) and recommend rerouting of the information or request.
3.2.3.8	The solution should provide the ability to to notify providers of events and new treatment options.
3.2.3.9	The solution should provide the ability to remind the patient or patient representative of events related to their care (e.g. upcoming appointments) as agreed upon by the patient and/or the patient representative.
3.2.3.11	The Support for Communications between Provider and Patient and/or the Patient Representative capability should provide non-repudiation requirements (IN 1.5) that guarantees that the sources and receivers of data cannot deny that they entered/sent/received the data.
3.2.4.1	The solution should provide the ability to access to a library of educational material for health concerns, conditions, and/or diagnosis.
3.2.4.2	The solution should provide the ability to to communicate applicable educational materials to the patient and/or patient representative.
3.2.4.3	The solution should provide the ability to deliver multilingual educational material.
3.2.4.4	The solution should provide the ability to to deliver patient educational materials using alternative modes to accommodate patient sensory capabilities.
3.2.4.5	The solution should provide the ability to access to external educational materials.
3.2.4.6	The solution should provide the ability to use rules-based support to identify the most pertinent educational material, based on the patient health status, condition and/or diagnosis.
3.2.4.7	The solution should provide the ability to to document who received the educational material provided, the patient, or the patient representative.
3.2.4.8	The solution should provide the ability to to document that the educational material was reviewed with the patient and/or patient representative and their comprehension of the material.
3.2.4.9	The solution should provide the ability to identify age appropriate and/or reading-ability appropriate educational materials for the patient and/or patient representative.
3.2.4.10	The solution should provide the ability for direct access to the educational material available, by patients and/or patient representatives.
3.2.4.12	The Patient, Family, & Care Giver Education capability should provide non-repudiation requirements (IN 1.5) that guarantees that the sources and receivers of data cannot deny that they entered/sent/received the data.
3.2.5.1	The solution should provide the ability to collect accurate electronic data from medical devices according to realm-specific applicable regulations and/or requirements.
3.2.5.2	The solution should provide the ability to present information collected from medical devices as part of the medical record as appropriate.
