3.2.3.3.1	NPAC SMS shall allow NPAC personnel to create a new LNP NPA NXX for a Service Provider.
3.11.2.137.2.1	NPAC SMS shall set the status of a Block for Block Creation.
3.11.2.137.3.1	NPAC SMS shall set the status of a Block for Block Modification.
3.11.2.137.4.1	NPAC SMS shall set the status of a Block for Block Deletion.
3.11.2.138.1.1	NPAC SMS shall ensure that the Block Failed SP List and the Subscription Versions Failed SP Lists for Block broadcasts to EDR Local SMSs and Subscription Versions broadcasts to non-EDR Local SMSs, are synchronized.
3.11.2.138.1.1.1	The Block Failed SP List for the Block and Subscription Versions Failed SP Lists for the Subscription Versions shall cross-reference one another and contain the results of the broadcast of the Block to the EDR Local SMSs, and the broadcast of the Subscription Versions to the non-EDR Local SMSs.
3.11.2.138.1.2.1	The Subscription Versions Failed SP Lists for the Subscription Versions shall be set, based on the results of the Block broadcasts to all EDR Local SMSs and the Subscription Version broadcasts to all non-EDR Local SMSs, and a response has been received by all EDR and non-EDR Local SMSs or retries have been exhausted, for Activations, Modifications, and Deletions.
3.11.2.138.1.3.1	The Block Failed SP List for the Block shall be set, based on the results of the Block broadcasts to all EDR Local SMSs and the Subscription Version broadcasts to all non-EDR Local SMSs, and a response has been received by all EDR and non-EDR Local SMSs or retries have been exhausted.
3.11.2.138.1.4.1	The Block Failed SP List for the Block shall be based on the summary of all Subscription Versions with LNP Type of POOL within the 1K Block.
3.11.2.138.1.5.1	The Block Failed SP List for the Block shall reflect the information.
3.11.2.138.2.1	NPAC SMS shall set the Block Failed SP List of a Block for updates.
3.11.2.139.1	NPAC SMS shall remove a non-EDR Service Provider from the Block Failed SP List when the Service Provider is no longer on the Subscription Version Failed SP List for ALL subscription versions in the 1K Block.  (Previously B-167)
3.11.2.140.1	NPAC SMS shall remove an EDR Service Provider from ALL subscription version's Failed SP List when the Service Provider is no longer on the Block Failed SP List.  (Previously B-168)
3.11.2.141.1.1	NPAC SMS shall generate a unique alarmable error message when a Block’s status is initially set to either Partial Failure or Failed, for Block Activation requests initiated by NPAC Personnel.  (Previously B-169.1.1)
3.11.2.141.3.1	NPAC SMS shall generate a unique alarmable error message when a Block’s status is updated to Active with a Failed SP List, for each occurrence, for Block Modification requests initiated by NPAC Personnel.  (Previously B-169.2)
3.11.2.141.4.1	NPAC SMS shall generate a unique alarmable error message when a Block’s status is updated to Old with a Failed SP List, for Block Deletion requests that were initiated through the NPA-NXX-X deletion by NPAC Personnel.  (Previously B-169.3)
3.11.2.142.1.1	NPAC SMS shall provide a mechanism to send a recurring page to NPAC Personnel, based on a configurable interval, when a unique alarmable error message is generated as defined in RR3-141.1, RR3-141.3, or RR3-141.4.  (Previously B-169.6)
3.11.2.142.2.1	NPAC SMS shall provide a mechanism to stop the recurring page to NPAC Personnel, whenever the Block’s status is set to Active AND the Block Failed SP List is empty, or, the Block’s status is set to Old AND the Block Failed SP List is empty.  (Previously B-169.7)
3.11.2.143.1	NPAC SMS shall apply NPA-NXX Filters to Block broadcasts to the Local SMS(s).  (Previously B-560)
3.11.3.144.1	NPAC SMS shall allow NPAC personnel, Service Provider via the SOA to NPAC SMS Interface, or Service Provider via the NPAC SOA Low-tech Interface, to request the creation of a Number Pooling Block.  (Previously B-170)
3.11.3.145.1	NPAC SMS shall reject a request to create a Block by a Service Provider via the NPAC SMS to Local SMS Interface, and will return an error message to the LSMS.  (Previously B-175)
3.11.3.146.1	NPAC SMS shall require NPAC personnel or Service Provider via the SOA to NPAC SMS Interface to specify the Block Holder SPID, the NPA-NXX-X, and the initial routing information, as defined in the Number Pooling Block Holder Information.  (Previously B-180)
3.11.3.147.1	NPAC SMS shall reject the request and issue a unique alarmable error message to the NPAC personnel at the time of Block Creation for an NPAC initiated request, from the NPAC Administrative Interface, if there are any TNs within the 1K Block, that contain an SV, with a status of pending/conflict/cancel-pending/failed, and where a currently active SV does NOT exist, for the given TN.  (Previously B-190)
3.11.3.148.1	NPAC SMS shall reject the request and issue an error message to the SOA at the time of Block Creation from the SOA via the SOA to NPAC SMS Interface, if there are any TNs within the 1K Block, that contain an SV, for a given TN in the 1K Block, with a status of pending/conflict/cancel-pending/failed, and where a currently active SV does NOT exist, for the given TN.  (Previously B-210)
3.11.3.149.1	NPAC SMS shall perform field-level data validations to ensure that the value formats for the following input data, is valid according to the formats specified in the Subscription Version Data Model upon Block creation for a Number Pool.
3.11.3.150.1	NPAC SMS shall, upon successfully creating a Block, set the Block’s status to sending, and broadcast an addition of a Block, to EDR Local SMSs, via the NPAC SMS to Local SMS Interface.  (Previously B-260)
3.11.3.151.1	NPAC SMS shall update the Activation Broadcast Complete Timestamp of the Block upon completion of the broadcast, and the FIRST successful response, for either an EDR or non-EDR Local SMS.  (Previously B-265)
3.11.3.152.1	NPAC SMS shall update the status of the Block upon completion of the Activation broadcast, and a response from ALL EDR and non-EDR Local SMSs, or retries are exhausted, as defined in RR3-137.1 and RR3-137.2.  (Previously B-270)
3.11.3.153.1	NPAC SMS shall update the Block Failed SP List upon completion of the Activation broadcast, and a response from ALL EDR and non-EDR Local SMSs, or retries are exhausted, as defined in RR3-138.1, and RR3-138.2.  (Previously B-275)
3.11.4.154.1	NPAC SMS shall allow NPAC Personnel to modify the SOA Origination Indicator on the NPAC Block record, via the NPAC Administrative Interface.  (Previously B-315)
3.11.3.155.1	NPAC SMS shall suppress the broadcast to a Local SMS, of a modification to a Block’s SOA Origination Indicator.  (Previously B-317)
3.11.3.156.1	NPAC SMS shall suppress the creation of a Block modification notification, when the Block’s SOA Origination Indicator is modified to FALSE.  (Previously B-318)
3.11.3.157.1	NPAC SMS shall allow NPAC personnel, Service Provider via the SOA to NPAC SMS Interface, or Service Provider via the NPAC SOA Low-tech Interface, to modify the block holder default routing information (LRN, DPC(s), and SSN(s)), for a 1K Block as stored in the NPAC SMS.  (Previously B-320)
3.11.3.158.1	NPAC SMS shall reject a request to modify a Block by a Service Provider via the NPAC SMS to Local SMS Interface, and will return an error message to the LSMS.  (Previously B-325)
3.11.3.159.1	NPAC SMS shall allow a Service Provider via the SOA to NPAC SMS Interface or Service Provider via the NPAC SOA Low-tech Interface, to modify Block data for Blocks where the Block Holder SPID matches the Service Provider making the request.  (Previously B-330)
3.11.3.160.1	NPAC SMS shall allow a Service Provider via the SOA to NPAC SMS Interface, to modify Block data by specifying either Block ID, or NPA-NXX-X value and status, in the request.  (Previously B-332)
3.11.3.161.1	NPAC SMS shall reject and issue an error message to NPAC personnel, Service Provider via the SOA to NPAC SMS Interface, or Service Provider via the NPAC SOA Low-tech Interface, when modifying block holder data, for a 1K Block as stored in the NPAC SMS, and the Block’s current status is not active, or the Block has at least one Service Provider in the Failed SP List.  (Previously B-335)
3.11.3.162.1	NPAC SMS shall, upon processing a valid request to modify a Block, update the status of the Block, at the start of the broadcast of a Block modification to the Local SMSs, from an active status to a sending status.  (Previously B-340)
3.11.3.163.1	NPAC SMS shall, upon successfully modifying a Block and setting the Block’s status to sending, broadcast a modification of a Block to EDR Local SMSs, via the NPAC SMS to Local SMS Interface.  (Previously B-350)
3.11.3.164.1	NPAC SMS shall update the Modify Broadcast Complete Timestamp of the Block upon completion of the broadcast, and the FIRST successful response, for either an EDR or non-EDR Local SMS.  (Previously B-355)
3.11.3.165.1	NPAC SMS shall update the status of the Block upon completion of the Modification broadcast, and a response from ALL EDR and non-EDR Local SMSs, or retries are exhausted, as defined in RR3-137.1 and RR3-137.3.  (Previously B-360)
3.11.3.166.1	NPAC SMS shall update the Block Failed SP List upon completion of the broadcast, and a response from ALL EDR and non-EDR Local SMSs, or retries are exhausted, as defined in RR3-138.1, and 3-138.2.  (Previously B-370)
3.11.3.167.1	NPAC SMS shall create an old Block with a new version id for an active Block prior to modification.  (Previously B-380)
3.11.3.168.1	NPAC SMS shall broadcast no data to the Local SMSs due to the creation of an old Block with a new version id for an active Block prior to modification.  (Previously B-390)
3.11.5.169.1	NPAC SMS shall not allow NPAC Personnel to request a delete of a Block in the NPAC SMS.NOTE:  This is initiated at the NPA-NXX-X level, and is part of a multi-step “cascading delete” process.  (Previously B-400)
3.11.3.170.1	NPAC SMS shall reject a request to delete a Block by a Service Provider via the SOA to NPAC SMS interface, and will return an error message to the SOA.  (Previously B-410)
3.11.3.171.1	NPAC SMS shall reject a request to delete a Block by a Service Provider via the NPAC SMS to Local SMS Interface, and will return an error message to the LSMS.  (Previously B-412)
3.11.3.172.1	NPAC SMS shall not allow Service Provider Personnel to request a delete of a Block in the NPAC SMS via the NPAC SOA Low-tech Interface.  (Previously B-415)
3.11.3.173.1	NPAC SMS shall, upon processing a valid request to delete an NPA-NXX-X, update the status of the Block at the start of the broadcast to the Local SMSs, from an active status to a sending status.  (Previously B-430)
3.11.3.174.1	NPAC SMS shall, upon setting the Block’s status to sending, broadcast a delete of a Block, to EDR LSMSs, via the NPAC SMS to Local SMS Interface.  (Previously B-440)
3.11.3.175.1	NPAC SMS shall update the Disconnect Complete Timestamp of the Block upon completion of the broadcast, and the FIRST successful response, for either an EDR or non-EDR Local SMS.  (Previously B-445)
3.11.3.176.1	NPAC SMS shall update the status of the Block upon completion of the Deletion broadcast, and a response from ALL EDR and non-EDR Local SMSs, or retries are exhausted, as defined in RR3-137.1 and RR3-137.4.  (Previously B-450)
3.11.3.177.1	NPAC SMS shall update the Block Failed SP List upon completion of the broadcast, and a response from ALL EDR and non-EDR Local SMSs, or retries are exhausted, as defined in RR3-138.1, and RR3-138.2.  (Previously B-480)
3.11.3.178.1	NPAC SMS shall create an old Block with a new version id for a disconnected Block when the NPA-NXX-X Holder Information de-pool request is received.  (Previously B-482)
3.11.3.179.1	NPAC SMS shall broadcast no data to the Local SMSs due to the creation of an old Block with a new version id for a disconnected Block when the NPA-NXX-X Holder Information de-pool request is received.  (Previously B-484)
3.11.6.180.1	NPAC SMS shall allow NPAC Personnel to query the block holder information for all data as listed in the Block Holder Information Data Model, for a 1K Block as stored in the NPAC SMS.  (Previously B-555)
3.11.6.181.1	NPAC SMS shall allow a Service Provider SOA via the SOA to NPAC SMS Interface, Service Provider Local SMS via the NPAC SMS to Local SMS Interface, or Service Provider via the NPAC SOA Low-tech Interface, to query Block Holder Information, regardless of the value in the requesting Service Provider’s EDR Indicator.  (Previously B-556)
3.11.6.182.1	NPAC SMS shall return, to the NPAC Personnel or requesting Service Provider, all Block data that match the query selection criteria.  (Previously B-557)
3.11.7.183.1	The NPAC SMS shall use the default routing restoration information in the Number Pooling Block Holder Information as the block holder default routing, when a ported pooled number is disconnected or port to original port is activated, and returns the TN(s) to the block, once the Block exists, except for Old with or without a Failed SP List.  (Previously B-570)
3.11.7.184.1	The NPAC SMS shall send a notification to the Code Holder, and suppress the notification to the Block Holder, when a ported pooled number is disconnected, for TN(s) in the block, when the Block is being de-pooled, and the most recent block contains a status of Old, with a Failed SP List.  (Previously B-571)
3.11.8.185.1	NPAC SMS shall apply NPA-NXX Filters to Block re-sends to the Local SMS(s).  (Previously B-574)
3.11.8.186.1.1	NPAC SMS shall allow NPAC Personnel to re-send Block Information, one Block at a time, via the NPAC Administrative Interface.  (B-575.1)
3.11.8.186.2.1	NPAC SMS shall allow NPAC Personnel to re-send Block Information, to a single Service Provider or all Service Providers in the Block Failed SP List, via the NPAC Administrative Interface.  (Previously B-575.2)
3.11.8.187.1	NPAC SMS shall use the value in the Service Provider's EDR Indicator to determine the type of data to re-send to the Service Provider, when a re-send request is initiated.  (Previously B-576)
3.11.8.188.1	NPAC SMS shall re-send Block Information to an EDR Local SMS, by re-sending the previously failed Block Object, via the NPAC SMS to Local SMS Interface.  (Previously B-577)
3.11.8.189.1	NPAC SMS shall re-send Block Information to a non-EDR Local SMS, by re-sending the previously failed Subscription Version(s), via the NPAC SMS to Local SMS Interface.  (Previously B-578)
3.11.8.190.1	NPAC SMS shall update the status of the failed Block, specified in the re-send request, at the start of the re-send to the Local SMSs, from a failed status to a sending status.  (Previously B-580)
3.11.8.191.1	NPAC SMS shall update the status of the partial failure Block, specified in the re-send request, at the start of the re-send to the Local SMSs, from a partial failure status to a sending status.  (Previously B-590)
3.11.8.192.1	NPAC SMS shall update the status of the active Block, with a Failed SP List, specified in the re-send request, at the start of the re-send to the Local SMSs, from an active status to a sending status.  (Previously B-600)
3.11.8.193.1	NPAC SMS shall update the status of the old Block, with a Failed SP List, specified in the re-send request, at the start of the re-send to the Local SMSs, from an old status to a sending status.  (Previously B-610)
3.11.8.194.1	NPAC SMS shall, upon setting the Block’s status to sending, broadcast a re-send of a Block, to EDR LSMSs, via the NPAC SMS to Local SMS Interface.  (Previously B-620)
3.11.8.195.1	NPAC SMS shall update the Block Failed SP List of the Block and the Subscription Version Failed SP List of each Subscription Version with LNP Type of POOL, by removing the previously failed Local SMS, upon a successful re-send to a previously failed Local SMS.  (Previously B-630)
3.11.8.196.1	NPAC SMS shall update the status of the Block, specified in the re-send request for a Block Creation, Modification, or Deletion, at the completion of the re-send to the Local SMS, and a response from the Local SMS or if retries have been exhausted, from a sending status, as defined in RR3-137.1, RR3-137.2, RR3-137.3, and RR3-137.4.  (Previously B-635)
3.11.8.197.1	NPAC SMS shall update the Block Failed SP List, specified in the re-send request for a Block Creation, Modification, or Deletion, at the completion of the re-send to the Local SMS, and a response from the Local SMS or if retries have been exhausted, as defined in RR3-138.1, and RR3-138.2.  (Previously B-636)
3.11.9.198.1	NPAC SMS shall allow NPAC personnel to request a bulk data download file for Block data via the NPAC Administrative Interface.  (Previously B-640)
3.11.9.199.1	NPAC SMS shall include the Requesting Service Provider, Active and Partial Failure Blocks Only or Latest View of Block Activity Choice, Time Range in Central Time (daylight/standard), and Block Range as Selection Criteria fields for the Block bulk data download file via the NPAC Administrative Interface.  (Previously B-650)
3.11.9.200.1.1	NPAC SMS shall allow NPAC Personnel to select either Active and Partial Failure Blocks Only or Latest View of Block Activity, and shall use the selected choice, for Block data.  (Previously B-652.1)
3.11.9.200.2.1	NPAC SMS shall use the Active and Partial Failure Blocks Only selection to only include Blocks with a status of either Active or Partial Failure in the Block Bulk Data Download file.  (Previously B-652.2)
3.11.9.200.3.1	NPAC SMS shall use the Latest View of Block Activity selection to include all Blocks, regardless of status, in order to capture activation, modification, and deletion transactions for Block data, but only include the latest instance of the Block in the Block Bulk Data Download file, for a given NPA-NXX-X, when a Block has more than one activity (e.g., addition, then modification) within the specified time range.  (Previously B-652.3)
3.11.9.201.1.1	NPAC SMS shall use the Start Time Range entry field as an inclusive start range in GMT, and the End Time Range entry field as an inclusive ending range in GMT, for Block data that were broadcast during the specified Time Range.  (Previously B-654.1)
3.11.9.201.2.1	NPAC SMS shall use the Start and End Time Range entry fields to include Block data, based on the Activation Broadcast Timestamp, Modify Broadcast Timestamp, and Disconnect Broadcast Timestamp, in the NPAC’s Block Data Model, when generating the file for the Latest View of Block Activity selection.  (Previously B-654.2)
3.11.9.202.1	NPAC SMS shall use the first Block Range entry field as an inclusive start range, and the second Block Range entry field as an inclusive ending range, for Block data.  (Previously B-655)
3.11.9.204.1	NPAC SMS shall provide a bulk data download file, based on the selection criteria, that contains all Blocks in the NPAC SMS, regardless of the value in the Service Provider’s EDR Indicator.  (Previously B-660)
3.11.9.205.1	NPAC SMS shall sort the Block Bulk Data Download file, in ascending order based on the value in the NPA-NXX-X attribute.  (Previously B-662)
3.11.9.206.1	NPAC SMS shall apply NPA-NXX Filters to Blocks in the creation of bulk data download files.  (Previously B-670)
3.11.9.207.1	NPAC SMS shall automatically put the bulk data download file into the FTP sub-directory of the Service Provider, based on SPID, that requested the creation of the bulk data download file.  (Previously B-680)
4.1.1.1.1	The NPAC SMS shall allow NPAC Personnel to add a Service Provider.
4.1.1.2.1	NPAC SMS shall allow modification of Service Provider data via the NPAC SMS to Local SMS interface or the SOA to NPAC SMS interface.  Service Providers can only modify their own data.
4.1.1.3.1	NPAC SMS shall allow NPAC personnel to delete a Service Provider.
4.1.1.4.1	NPAC SMS shall allow NPAC personnel to view Service Provider data.
4.1.1.5.1.1	NPAC SMS shall allow NPAC personnel to view a list of Subscription Versions associated with the Service Provider.
4.1.1.5.2.1	NPAC SMS shall allow authorized Service Provider personnel to view their own Service Provider data via the SOA to NPAC SMS interface, the NPAC SMS to Local SMS interface, and the NPAC SOA Low-tech Interface.
4.1.1.5.2.2	NPAC SMS shall allow authorized Service Provider personnel to modify their own Service Provider data.
4.1.1.4.1.1	NPAC SMS shall broadcast all additions, modifications, and deletions of NPAC Customer names via the NPAC SMS to Local SMS interface and/or SOA to NPAC SMS interface.
4.1.2.1.6.1	NPAC SMS shall require the following to be entered to identify the Service Provider, when NPAC personnel are creating a new Service Provider: Service Provider ID   the alphanumeric identifier of the Service Provider. This ID must be unique.
4.1.2.1.7.1.1	NPAC SMS shall check to see if there is an existing Service Provider with the same Service Provider ID.
4.1.2.1.7.2.1	NPAC SMS shall inform the user that the Service Provider data already exists for the Service Provider, if it does exist, and that the new Service Provider data cannot be created.
4.1.2.1.8.1	NPAC SMS shall require the following data if there is no existing Service Provider data: 1.	Service Provider name, address, phone number, and contact organization. 2.	NPAC customer type. 3.	Service Provider allowable functions. 4.	Service Provider Network Address of NPAC SMS to Local SMS interface. 5.	Service Provider Network Address of SOA to NPAC SMS interface. 6.	Service Provider Security Contact. Contact data is security data when Contact Type is “SE.” 7.	Service Provider Repair contact name and phone number. The default Service Provider Repair Contact and phone number shall be the same as the Service Provider contact and phone number, if the Service Provider Repair Contact information is left blank. 8.	Service Provider billing name, address, phone number, and billing contact for NPAC SMS billing. The default for the Service Provider Billing data shall be the same as the Service Provider data, if the Service Provider Billing information is left blank. 9.	Service Provider Download Indicator 10.Service Provider Maximum Query 11.	NPAC New Functionality Support 12.	Port In Timer Type 13.	Port Out Timer Type 14.	Business Hour/Days 15.	NPAC Customer SOA NPA-NXX-X Indicator 16.	NPAC Customer LSMS NPA-NXX-X Indicator 17.	LSMS EDR Indicator
4.1.2.2.8.1.1	The following data is optional: •	Service Provider Contact Type: SOA Contact, Local SMS, Web, Network Communications, Conflict Resolution, Operations, and User Administration Contact Address Information. •	NPAC Customer Associated Service Provider Information
4.1.2.1.9.1	NPAC SMS shall validate that all required Service Provider data has been received, after the Service Provider data has been collected.
4.1.2.1.10.1	NPAC SMS shall notify NPAC personnel upon successful creation of the new Service Provider.
4.1.2.1.11.1	NPAC SMS shall issue an appropriate error message upon unsuccessful creation of the new Service Provider.
4.1.2.2.13.1	NPAC SMS shall require one of the following data items to identify the Service Provider data to be modified: Service Provider ID or Service Provider Name
4.1.2.2.14.1	NPAC SMS shall issue an appropriate error message to the user if the Service Provider data to be modified does not exist.
4.1.2.2.15.1.1	NPAC SMS shall allow Service Provider data to be modified or added to the Service Provider data with the exception of the data listed in Table 3 2 NPAC Customer Data Model.
4.1.2.2.15.2.1	NPAC SMS shall allow NPAC Operations personnel to modify the data in Table 3 2 NPAC Customer Data Model, with the exception of the NPAC Customer ID.
4.1.2.2.16.1	NPAC SMS shall revalidate that all required Service Provider data is present when a user attempts to submit modified Service Provider data.
4.1.2.2.17.1	NPAC SMS shall issue an appropriate error message to the user if the Service Provider data fails validation on a modify.
4.1.2.3.20.1	NPAC SMS shall require the Service Provider ID and/or Service Provider name from the user to identify the Service Provider data to be deleted.
4.1.2.3.21.1	NPAC SMS shall generate an error message and send it to the request originator, if the Service Provider data does not exist, or if is has already been deleted and exists only in a history file. NPAC SMS will not proceed further with the deletion request.
4.1.2.3.22.1.1	NPAC SMS shall perform the deletion of the Service Provider data, notify the user that the deletion request was successful, if there are no affected Subscription Versions, and write the Service Provider data to a history file.
4.1.2.3.22.2.1	NPAC SMS shall notify the user that the request to delete the Service Provider data cannot be completed until the affected individual Subscription Versions are modified, if affected Subscription Versions are found.
4.1.2.3.22.3.1	NPAC SMS shall determine if there are any Subscription Versions being affected by the NPA-NXX and/or LRN data being deleted.
4.1.3.1.24.1.1	NPAC SMS shall allow NPAC personnel to view all Subscription Versions associated with a Service Provider ID and/or Service Provider Name.
4.1.3.1.24.2.1	NPAC SMS shall allow NPAC personnel to view all Subscription Versions associated with an LRN.
4.1.3.1.24.3.1	NPAC SMS shall allow NPAC personnel to view all Subscription Versions associated with an NPA-NXX.
4.1.3.2.1.25.1	NPAC SMS shall require the Service Provider ID and/or the Service Provider Name for queries regarding Service Provider data.
4.1.3.2.1.26.1.1	NPAC SMS shall provide the request originator with a message indicating that there was no data in the NPAC SMS that matched the search keys for a Service Provider query, if no match was found.
4.1.3.2.1.26.2.1	NPAC SMS shall return all Service Provider data associated with the Service Provider ID and/or Service Provider Name, as listed in Tables 3-2, 3-3, 3-4, and 3-5, if the Service Provider data matches the query criteria.  Service Providers are only allowed to query their own data.
4.1.3.2.1.27.1	NPAC SMS shall receive the Service Provider ID, a request to view subscription data, and optionally the subscription data status types to be returned (e.g., active only, active or pending) for queries regarding subscription data for a specific Service Provider.
4.1.3.2.1.28.1	NPAC SMS shall provide the request originator with a message indicating that there was no data in NPAC SMS that matched the search keys, if NPAC SMS does not have subscription data as specified by the request originator.
4.1.3.2.2.29.1	NPAC SMS shall receive the attributes to be searched on for queries regarding Subscription Versions associated with the Service Provider. Allowable attributes are the following data elements from Table 3 6 Subscription Version Data Model: •	Subscription Version ID •	Subscription Version Status •	Local Number Portability Type •	Ported Telephone Number •	Old facilities-based Service Provider Due Date •	New facilities-based Service Provider Due Date •	New facilities-based Service Provider ID •	Authorization from old facilities-based Service Provider •	Local Routing Number (LRN) •	Class DPC •	Class SSN •	LIDB DPC •	LIDB SSN •	CNAM DPC •	CNAM SSN •	ISVM DPC •	ISVM SSN •	WSMSC DPC •	WSMSC SSN •	Billing Service Provider ID •	End User Location Value •	End User Location Type •	Customer Disconnect Date •	Effective Release Date •	Disconnect Complete Time Stamp •	Conflict Time Stamp •	Activation Time Stamp •	Cancellation Time Stamp (Status Modified to Cancel Time Stamp) •	New Service Provider Creation Time Stamp •	Old Service Provider Authorization Time Stamp •	Pre-cancellation Status •	Old Service Provider Cancellation Time Stamp •	New Service Provider Cancellation Time Stamp •	Old Time Stamp (Status Modified to Old Time Stamp) •	New Service Provider Conflict Resolution Time Stamp •	Create Time Stamp •	Modify Time Stamp •	Porting To Original •	Status Change Cause Code •	Timer Type •	Business Hour Type
4.1.3.2.2.30.1.1	NPAC SMS shall return all active Subscription Versions associated with the Service Provider which satisfy the selection criteria, up to a tunable parameter number of Subscription Versions for queries initiated via the NPAC SMS to Local SMS interface.
4.1.3.2.2.30.2.1	NPAC SMS shall return all Subscription Versions regardless of Subscription Version status for queries initiated via the NPAC SOA Low-tech Interface.
4.1.3.2.2.30.6.1	NPAC SMS shall return an “out of range” error and the count of subscription records returned by a query, if more than a tunable parameter number of Subscription Versions are found.
4.1.3.2.2.30.8.1	NPAC SMS shall provide the request originator with a message indicating that there was no data in NPAC SMS that matched the search keys, if NPAC SMS does not have Subscription Versions as specified by the request originator.
4.2.1.1	NPAC SMS shall allow Service Providers to add/delete the NPA-NXX and/or LRN data via the NPAC SMS to Local SMS interface and SOA to NPAC SMS interface provided the changes do not cause mass updates to the Subscription Versions.
4.2.1.2	NPAC SMS shall allow removal of a Service Provider by NPAC personnel only if all associated LRNs are removed, and no Subscription Versions are associated with the LRN.
4.2.2.1	NPAC SMS shall allow removal of a Service Provider by NPAC personnel only if all associated NPA-NXXs are removed, and no Subscription Versions are associated with the NPA-NXX.
4.2.3.1.1	NPAC SMS shall allow removal of an NPA-NXX by NPAC personnel only if no Subscription Versions, except for Old without a Failed SP List or Canceled Subscription Versions, exist for the NPA-NXX.
4.2.3.2.1	NPAC SMS shall allow the removal of an NPA-NXX by NPAC personnel only if Number Pooling NPA-NXX-X Information, does not exist for the NPA-NXX.
4.2.4.2.1.1	NPAC SMS shall allow the removal of an LRN by NPAC personnel only if no Subscription Versions, except for Old without a Failed SP List or Canceled Subscription Versions, exist and use the LRN.
4.2.4.2.2.1	NPAC SMS shall allow the removal of an LRN by NPAC personnel only if Number Pooling Block Information, except for Old with NO Failed SP List, do not exist and do not use the LRN.
4.2.5.1	NPAC SMS shall validate upon request to add an NPA-NXX for a service provider, that the NPA-NXX does not exist for any service provider in the region.
4.2.6.1	NPAC SMS shall upon finding that an NPA-NXX already exists for a service provider in a region, reject a request to add an NPA-NXX for a service provider and report an error to the user.
4.2.7.1	NPAC SMS shall validate upon request to add an LRN for a service provider, that the LRN does not exist for any service provider in the region.
4.2.8.1	NPAC SMS shall upon finding that an LRN already exists for a service provider in a region, reject a request to add an LRN for a service provider and report an error to the user.
5.1.1.1	NPAC SMS shall allow only one pending, cancel pending, conflict, disconnect pending, failed or partial failure Subscription Version per subscription.
5.1.2.1	NPAC SMS shall allow only one active Subscription Version per subscription.
5.1.3.1	NPAC SMS shall allow multiple old and/or canceled Subscription Versions per subscription.
5.1.1.1.2.1.1	NPAC SMS shall provide an Old Subscription Retention tunable parameter which is defined as the length of time that old Subscription Versions shall be retained and accessible through a query request.
5.1.1.1.2.2.1	NPAC SMS shall allow the NPAC SMS Administrator to modify the Old Subscription Retention tunable.
5.1.1.1.2.3.1	NPAC SMS shall default the Old Subscription Retention tunable parameter to 18 calendar months.
5.1.1.1.3.1.1	NPAC SMS shall provide a Cancel-Pending Subscription Retention tunable parameter which is defined as the length of time that canceled Subscription Versions with a pre-cancellation status of pending shall be retained and accessible through a query request.
5.1.1.1.3.2.1	NPAC SMS shall allow the NPAC SMS Administrator to modify the Cancel-Pending Subscription Retention tunable parameter.
5.1.1.1.3.3.1	NPAC SMS shall default the Cancel-Pending Subscription Retention tunable parameter to 90 calendar days.
5.1.1.1.3.4.1	NPAC SMS shall provide a Cancel-Conflict Subscription Retention tunable parameter which is defined as the length of time that canceled Subscription Versions with a pre-cancellation status of conflict shall be retained and accessible through a query request.
5.1.1.1.3.5.1	NPAC SMS shall allow the NPAC SMS Administrator to modify the Cancel-Conflict Subscription Retention tunable parameter.
5.1.1.1.3.6.1	NPAC SMS shall default the Cancel-Conflict Subscription Retention tunable parameter to 30 calendar days.
5.1.1.1.1.1.1	NPAC SMS shall provide a Pending Subscription Retention tunable parameter, which is defined as the length of time that a pending Subscription Version shall remain in the system prior to cancellation.
5.1.1.1.1.2.1	NPAC SMS shall allow the NPAC SMS Administrator to modify the Pending Subscription Retention tunable parameter.
5.1.1.1.1.3.1	NPAC SMS shall default the Pending Subscription Retention tunable parameter to 90 calendar days.
5.1.1.1.1.4.1	NPAC SMS shall cancel a Subscription Version by setting the subscription version to cancel after a pending Subscription Version has existed in the system for a Pending Subscription Retention number of calendar days subsequent to new Service Provider Due Date, or old Service Provider Due Date if the new Service Provider Due Date has not been received by the NPAC SMS.
5.1.1.1.5.1	NPAC SMS shall create individual Subscription Versions when a Subscription Version creation request is received for a TN range.
5.1.1.1.6.1	NPAC SMS shall log all subscription administration transactions. The log entries shall include: •	Activity Type: create, modify, activate, query, all status types, and all acknowledgments. •	Service Provider ID •	Initial Version Status •	New Version Status (if applicable) •	User ID and/or Login •	Local Number Portability Type •	Date •	Time •	Ported Telephone Number •	Status Flag   successful or failed •	Subscription Version ID (when assigned)
5.1.1.2.1.1	NPAC SMS shall provide an Old Subscription Retention tunable parameter which is defined as the length of time that old Subscription Versions shall be retained and accessible through a query request.
5.1.1.2.2.1	NPAC SMS shall allow the NPAC SMS Administrator to modify the Old Subscription Retention tunable.
5.1.1.2.3.1	NPAC SMS shall default the Old Subscription Retention tunable parameter to 18 calendar months.
5.1.1.3.1.1	NPAC SMS shall provide a Cancel-Pending Subscription Retention tunable parameter which is defined as the length of time that canceled Subscription Versions with a pre-cancellation status of pending shall be retained and accessible through a query request.
5.1.1.3.2.1	NPAC SMS shall allow the NPAC SMS Administrator to modify the Cancel-Pending Subscription Retention tunable parameter.
5.1.1.3.3.1	NPAC SMS shall default the Cancel-Pending Subscription Retention tunable parameter to 90 calendar days.
