Label	Requirement Statement	Solution Scope	Solution Approach	
Pharm 05.008	The solution should provide controlled substances report by nursing station, inmate and/or physician in a daily report.	Unknown	Unknown	
Pharm 05.009	The solution should provide alphabetical listing of all controlled substances sorted by DEA classification and their usage levels.	Unknown	Unknown	
Pharm 05.010	The solution should provide list of all requests for missing doses in a daily report.	Unknown	Unknown	
Pharm 05.011	The solution should generate and print an inmate's medication/charge summaries during discharge processing.	Unknown	Unknown	
Pharm 05.012	The solution should generate and print a list of inmates (in house or paroled) for drug utilization by medication.	Unknown	Unknown	
Pharm 05.013	The solution should generate and print a list of inmates (in house or paroled) for drug utilization by diagnosis.	Unknown	Unknown	
Pharm 05.014	The solution should generate and print a list of inmates (in house or paroled) for drug utilization by drug class.	Unknown	Unknown	
Pharm 05.015	The solution should generate and print a list of inmates (in house or paroled) for drug utilization by physician.	Unknown	Unknown	
Pharm 05.016	The solution should generate and print a list of inmates (in house or paroled) for drug utilization by medical specialty of physician.	Unknown	Unknown	
Pharm 05.017	The solution should provide the ability to chart medication and IV administration on-line.	Unknown	Unknown	
Pharm 05.018	The solution should maintain and display inmate/inmate medication profiles.	Unknown	Unknown	
Pharm 05.019	The solution should provide daily log of vault activity.	Unknown	Unknown	
Pharm 05.020	The solution should provide drug utilization tracking by drug, dose, diagnosis, age/weight, and physician.	Unknown	Unknown	
Pharm 05.021	The solution should maintain records of inspections by pharmacy personnel of nursing, stock and other locations.	Unknown	Unknown	
Pharm 05.022	The solution should generate reports of workload statistics on preparation of oral solids, oral liquids, IVs, chemotherapy, and number of orders listed by area/location.	Unknown	Unknown	
Pharm 05.023	The solution should generate reports of workload statistics on preparation of oral solids, oral liquids, IVs, chemotherapy, and number of orders listed by pharmacist.	Unknown	Unknown	
Pharm 05.024	The solution should generate reports of workload statistics on preparation of oral solids, oral liquids, IVs, chemotherapy, and number of orders listed by shift.	Unknown	Unknown	
Pharm 05.025	The solution should generate reports of workload statistics on preparation of oral solids, oral liquids, IVs, chemotherapy, and number of orders listed by other attributes.	Unknown	Unknown	
Pharm 05.026	The solution should track adverse drug reactions.	Unknown	Unknown	
Pharm 05.027	The solution should provide the ability to track clinical interventions.	Unknown	Unknown	
Pharm 05.028	"The solution should support the recording of an intervention by the pharmacist, what
drugs were involved, steps of action taken by the pharmacist, and possible effects."	Unknown	Unknown	
Pharm 05.029	The solution should provide the ability to chart medication and IV administration on-line.	Unknown	Unknown	
Pharm 05.030	The solution should maintain and display inmate/inmate medication profiles.	Unknown	Unknown	
Pharm 05.031	The solution should allow a user to report on clinical interventions by intervention category.	Unknown	Unknown	
Pharm 05.032	The solution should track errors and drug reactions using audit trails, reporting, and documentation.	Unknown	Unknown	
Pharm 05.033	The solution should restrict validation of orders to authorized personnel only.	Unknown	Unknown	
Pharm 05.034	The solution should provide a log of all unverified orders in a daily report.	Unknown	Unknown	
Pharm 05.035	The solution should provide a log of all verified orders by verifier in a daily report.	Unknown	Unknown	
Pharm 05.036	The solution should maintain inmate specific interactions for the pharmacy and will automatically generate reports for follow up on day scheduled for intervention follow up.	Unknown	Unknown	
Pharm 05.037	The solution should provide the ability to document clinical interventions, adverse reactions, and progress notes all within the single order processing area.	Unknown	Unknown	
CCHCS 06. Formulary				
Pharm 06.001	The solution should allow electronic and manual updating of the formulary.	Unknown	Unknown	
Pharm 06.002	The solution should provide the ability to maintain/display the formulary with pertinent data by authorized personnel.	Unknown	Unknown	
Pharm 06.003	The solution should maintain pharmacy formulary that includes dosage form (e.g., tablet, oral, liquid, injection) for each medication.	Unknown	Unknown	
Pharm 06.004	The solution should maintain pharmacy formulary that includes dispensing form (e.g., ampoule, vial, syringe) for each medication.	Unknown	Unknown	
Pharm 06.005	The solution should maintain pharmacy formulary that includes generic drug name (or trade name for combination products) for each medication.	Unknown	Unknown	
Pharm 06.006	The solution should maintain pharmacy formulary that includes trade name(s) or synonyms for each medication.	Unknown	Unknown	
Pharm 06.007	The solution should maintain pharmacy formulary that includes American Hospital Formulary Service Number for each medication.	Unknown	Unknown	
Pharm 06.008	The solution should maintain pharmacy formulary that includes therapeutic class name for each medication.	Unknown	Unknown	
Pharm 06.009	The solution should maintain pharmacy formulary that includes CCHCS-defined attributes for each medication  (i.e., formulary code, generic name, trade name, NDC, and AHFS number, etc.).	Unknown	Unknown	
Pharm 06.010	The solution should allow user-defined formulary items to be added by authorized personnel.	Unknown	Unknown	
Pharm 06.011	The solution should accept electronic updates of therapeutics, dosing, interaction and financial data for the drugs in the formulary.	Unknown	Unknown	
Pharm 06.012	The solution should provide frequent on-line updates of the vendor-provided formulary.	Unknown	Unknown	
Pharm 06.013	The solution should allow multiple concurrent formularies.	Unknown	Unknown	
Pharm 06.014	The solution should provide on-line formulary lookup using Soundex search method.	Unknown	Unknown	
Pharm 06.015	The solution should provide formulary building and maintenance with ease of use.	Unknown	Unknown	
Pharm 06.016	The solution provides a pre-populated formulary using First Data Bank or  other vendor.	Unknown	Unknown	
Pharm 06.017	The solution should not require system downtime for formulary maintenance.	Unknown	Unknown	
Pharm 06.018	The solution should not limit system functionality during formulary maintenance.	Unknown	Unknown	
Pharm 06.019	The solution should provide designation of vitamins, minerals, etc. on the formulary.	Unknown	Unknown	
Pharm 06.020	The solution should allow automatic substitution of drugs by authorized users.	Unknown	Unknown	
Pharm 06.021	The solution should provide alerts whenever a substitution of drugs has occurred.	Unknown	Unknown	
Pharm 06.022	The solution should allow an authorized user to flag a medication as "Do not substitute"  e.g. substitution never allowed for  the no sugar/no alcohol mouthwash.  	Unknown	Unknown	
Pharm 06.023	The solution should provide display of compound medications within the formulary.	Unknown	Unknown	
Pharm 06.024	The solution should provide designation of natural/homeopathic on the formulary.	Unknown	Unknown	
Pharm 06.025	The solution should provide designation of clinical trails on the formulary.	Unknown	Unknown	
CCHCS 07.  Inventory				
Pharm 07.001	The solution should provide inventory control for multiple facilities, with each having their own inventory database.	Unknown	Unknown	
Pharm 07.002	The solution should provide inventory control for multiple locations within a facility. 	Unknown	Unknown	
Pharm 07.003	The solution should provide the option to use bar code readers for inventory management functions.  	Unknown	Unknown	
Pharm 07.004	The solution should support perpetual inventory.	Unknown	Unknown	
Pharm 07.005	The solution should have a standard bi-directional interface to a variety of  storage and retrieval systems that automate and manage inventory throughout the receiving, storage, retrieval, and distribution process.	Unknown	Unknown	
Pharm 07.006	The solution should maintain and display vendor file.	Unknown	Unknown	
Pharm 07.007	The solution should provide on-line entry of stock received, adjusted, and transferred.	Unknown	Unknown	
Pharm 07.008	The solution should provide a direct interface with drug wholesaler information systems.	Unknown	Unknown	
Pharm 07.009	The solution should allow a manual correction to a count of an item in inventory by increasing or decreasing the item’s on hand quantity.	Unknown	Unknown	
Pharm 07.010	The solution should offer a Return to Stock function.	Unknown	Unknown	
Pharm 07.011	The solution should track and maintain minimum and maximum inventory levels.	Unknown	Unknown	
Pharm 07.012	The solution should identify the primary vendor or manufacturer of inventory items.	Unknown	Unknown	
Pharm 07.013	The solution should flag drugs when their user-defined critical order levels are reached.	Unknown	Unknown	
Pharm 07.014	The solution should allow electronic ordering from prime vendors using an X.12 interface.	Unknown	Unknown	
Pharm 07.015	The solution should prepare purchase orders based on inventory levels, usage and other reorder criteria.	Unknown	Unknown	
Pharm 07.016	The solution should provide automatic or on demand generation of purchase orders.	Unknown	Unknown	
Pharm 07.017	The solution should provide purchase order reconciliation electronically and manually.	Unknown	Unknown	
Pharm 07.018	The solution should alert the user of discontinued, back ordered, non-formulary, etc drug orders at the point of ordering from the vendor.	Unknown	Unknown	
Pharm 07.019	The solution should provide a process to quickly order back-ordered, discontinued drugs, etc.  from another vendor or manufacturer.	Unknown	Unknown	
Pharm 07.020	These solution should allow inventory updates electronically and manually from sources determined by CCHCS.	Unknown	Unknown	
Pharm 07.021	The solution should allow automatic updates for inventory data via multiple sources as determined by CCHCS.	Unknown	Unknown	
Pharm 07.022	The solution should provide flexibility in how items are deducted from inventory and supports concurrent multiple methodologies within the same facility.	Unknown	Unknown	
Pharm 07.023	The solution should maintain pricing data for all formulary and non-formulary items.  	Unknown	Unknown	
Pharm 07.024	The solution should support electronic and manual pricing updates.	Unknown	Unknown	
Pharm 07.025	The solution should provide user-definable pricing formulas to copy existing pricing formulas to create new ones.	Unknown	Unknown	
Pharm 07.026	The solution should track prices based on AWP, Bid, or MAC price.	Unknown	Unknown	
Pharm 07.027	The solution should provide a price modeling function to analyze the impact of price structure changes before implementation.	Unknown	Unknown	
Pharm 07.028	The solution should support entry of pricing information and choice of a "charge" algorithm e.g. minimum charge, handling fees, percent markups, etc. 	Unknown	Unknown	
Pharm 07.029	The solution should assign lot numbers for prepared medication packages.	Unknown	Unknown	
Pharm 07.030	The solution should support and track controlled medication inventory levels.	Unknown	Unknown	
Pharm 07.031	The solution should maintain "vault" records for controlled medications.	Unknown	Unknown	
Pharm 07.032	The solution should support fractional inventory calculation, user definable at time of order entry.	Unknown	Unknown	
Pharm 07.033	The solution should provide inventory valuation based on CCHCS criteria.	Unknown	Unknown	
Pharm 07.034	The solution should support on demand inventory valuation.	Unknown	Unknown	
Pharm 07.035	The solution should print pharmacy inventory audit/cycle count  worksheet listing drug data, quantity-on-hand and last audit/verification date.	Unknown	Unknown	
Pharm 07.036	The solution should track departmental (or other types) requisitions with printed monthly transaction statements.	Unknown	Unknown	
Pharm 07.037	The solution should support floor stock medication or bulk stock inventory control.  	Unknown	Unknown	
Pharm 07.038	The solution should support daily floor stock or bulk stock medication lists on demand or at a user-defined time.	Unknown	Unknown	
Pharm 07.039	The solution should support complete floor stock usage tracking, charging, and statistical reporting.	Unknown	Unknown	
Pharm 07.040	The solution should print prepackaging log and inventory transfers.	Unknown	Unknown	
Pharm 07.041	The solution should support the ability to check in inventory received from another store and to automatically update the inventory levels.	Unknown	Unknown	
Pharm 07.042	The solution should support the ability to transfer inventory received to another store and to automatically update the inventory levels. 	Unknown	Unknown	
Pharm 07.043	The solution should track drugs returned to manufacturer or wholesalers.	Unknown	Unknown	
Pharm 07.044	The solution should track physician-prescribing patterns.	Unknown	Unknown	
Pharm 07.045	The solution should generate spoilage report for outdated inventory.	Unknown	Unknown	
Pharm 07.046	The solution should track wholesaler performance.	Unknown	Unknown	
Pharm 07.047	The solution should maintain data on drugs borrowed from and loaned to other institutions.	Unknown	Unknown	
