CCHIT Certified 2011 Ambulatory EHR 
Certification Criteria
May 17, 2011

© 2011 The Certification Commission for Health Information Technology	

P = Previous Criterion 
M = Modified
N = New for Year
O = Optional
																		
																						
																						
																						
																						
Internal sort column	Criteria #	Category	Criteria	Year introduced or last modified	2011 Certification	Comments	Criteria Reference	"Test Script and Step Number

AMB = Ambulatory Test Script
SEC = Security Test Script"														
2011.AM.105	AM 11.17	Order medication	The system shall provide the ability to display the associated problem or diagnosis (indication) on the printed prescription.	2007	P	"At least one diagnosis shall be able to be displayed but the ability to display more than one is desirable.
Associated problem or diagnosis can be non-structured data or structured data.
"	Source is public comments and WG discussion.	AMB 1.65														
2011.AM.106	AM 11.19	Order medication	The system shall provide the ability to create provider specific medication lists of the most commonly prescribed drugs with a default route, dose, frequency, and quantity.	2009	N		Source is public comments and WG discussion.	AMB 4.23														
2011.AM.107	AM 11.20	Order medication	The system shall provide the ability to add reminders for necessary follow up tests based on medication prescribed.	2008	P	"Does not imply that this must be an automated process.

It is acceptable if the system requires an action by the user, separate from the action of prescribing the medication, to configure the system to issue future reminders related to follow-up tests for the medication.
"	Source is public comments and WG discussion.	AMB 4.37														
2011.AM.108	FN 07.01	Order medication	The system shall provide the ability to alert the user at the time a new medication is prescribed/ordered that drug interaction, allergy, and formulary checking will not be performed against the uncoded medication or free text medication.	2008	P		Source is WG discussion and cross-group harmonization.	AMB 4.24														
2011.AM.109	FN 07.02	Order medication	The system shall provide the ability to prescribe/order uncoded and non-formulary medications.	2007	P		Source is WG discussion and cross-group harmonization.	AMB 4.24														
2011.AM.110	FN 07.03	Order medication	The system shall provide the ability to maintain a coded list of medications including a unique identifier for each medication.	2008	P		Source is WG discussion and cross-group harmonization.	AMB ADM.05														
2011.AM.111	FN 07.04	Order medication	The system shall provide end-users the ability to search for medications by generic or brand name.	2007	P		"Source is WG discussion and cross-group harmonization.
"	AMB 1.43														
2011.AM.112	FN 07.05	Order medication	The system shall provide the ability to access reference information for prescribing/ordering.	2008	P	The reference information may reside within the system or be provided through links to external sources. 	Source is WG discussion and cross-group harmonization.	AMB 1.44														
2011.AM.113	AM 12.01	Order diagnostic tests	The system shall provide the ability to order diagnostic tests, including labs and imaging studies.	2006	P	This includes physicians and authorized non-physicians.	"DC.1.7.2.2
"	AMB 4.34														
2011.AM.114	AM 12.02	Order diagnostic tests	The system shall provide the ability to capture the identity of the ordering provider for all test orders.	2006	P		"Source is public comments and WG discussion.
"	AMB 4.34														
2011.AM.115	AM 12.03	Order diagnostic tests	The system shall provide the ability to capture appropriate order entry detail, including associated diagnosis.	2006	P	Including associated diagnoses.  It is desirable that all information for medical necessity checking be captured.	"DC.1.7.2.2
"	AMB 4.34														
2011.AM.116	AM 12.04	Order diagnostic tests	The system shall provide the ability to display user created instructions and/or prompts when ordering diagnostic tests or procedures.  	2007	P	"Refers to diagnostic test or procedure specific instructions and/or prompts; not patient specific instructions and/or prompts.  
Instructions and/or prompts may be created by the system administrator.
A 3rd party product may be used, providing that the instructions and/or prompts appear at the point of care.
"	DC.1.7.2.2	AMB 4.34														
2011.AM.117	AM 12.05	Order diagnostic tests	The system shall provide the ability to relay orders for a diagnostic test to the correct destination for completion.	2006	P	Mechanisms for relaying orders may include providing a view of the order, sending it electronically, or printing a copy of the order or order requisition.	DC.1.7.2.2	AMB 2.16														
2011.AM.118	AM 12.06	Order diagnostic tests	The system shall have the ability to provide a view of active orders for an individual patient. 	2007	P	Additional sorts and filters may be provided by the vendors but not required.	DC.1.7.2.2	AMB 2.22														
2011.AM.119	AM 12.07	Order diagnostic tests	The system shall have the ability to provide a view of orders by like or comparable type, e.g., all radiology or all lab orders.	2007	P	May include filters or sorts.	DC.1.7.2.2	AMB 4.41														
2011.AM.120	AM 12.08	Order diagnostic tests	The system shall provide the ability to display outstanding orders for multiple patients (as opposed to outstanding orders for a single patient).	2009	N	A report may satisfy this criterion. Multiple patients may be defined as all patients in the organization or a subset.	Source is public comments and WG discussion.	AMB 2.23														
2011.AM.121	FN 09.01	Orders and Referral Management	The system shall provide the ability to require problem / diagnosis as an order component.	2008	P		Source is WG discussion and cross-group harmonization.	AMB 4.35														
2011.AM.122	FN 09.02	Orders and Referral Management	The system shall provide the ability to view status information for ordered services.	2009	N	Status may be electronically or manually updated.	Source is WG discussion and cross-group harmonization.	AMB 4.42														
2011.AM.123	FN 10.01	Order Set Templates	The system shall provide the ability to define a set of items to be ordered as a group.	2007	P	The intent is that the Order Set thus defined will be used across multiple patients on multiple occasions.	"Source is WG discussion and cross-group harmonization.
"	AMB 2.13														
2011.AM.124	FN 10.02	Order Set Templates	The system shall provide the ability to modify order sets.	2007	P		Source is WG discussion and cross-group harmonization.	AMB ADM.02														
2011.AM.125	FN 10.03	Order Set Templates	The system shall provide the ability to include in an order set order types including but not limited to medications, laboratory tests, imaging studies, procedures and referrals.	2007	P		Source is WG discussion and cross-group harmonization.	AMB ADM.02														
2011.AM.126	FN 11.01	Manage Order Sets	The system shall provide the ability for individual orders in an order set to be selected or deselected by the user.	2008	P		Source is WG discussion and cross-group harmonization.	AMB 2.14														
2011.AM.127	FN 11.04	Manage Order Sets	The system shall provide the ability to display orders placed through an order set either individually or as a group.	2008	P		Source is WG discussion and cross-group harmonization.	AMB 2.17														
2011.AM.128	AM 14.01	Manage results	The system shall provide the ability to indicate normal and abnormal results based on data provided from the original data source.  	2006	P	"As each lab has it's own normal values, these should be reflected in the indication as to whether a lab is normal or abnormal.
"	DC.1.8.3	AMB 3.02, 3.03, 3.04														
2011.AM.129	AM 14.02	Manage results	The system shall provide the ability to display numerical results in flow sheets and graphical form in order to compare results, and shall provide the ability to display values graphed over time.	2007	P	It is desirable for the system indicate if abnormal results are high or low.	DC.1.8.3	AMB 4.15														
2011.AM.130	AM 14.03	Manage results	The system shall provide the ability to display non-numeric current and historical test results as textual data.	2006	P		"DC.1.8.3
"	AMB 4.43														
2011.AM.131	AM 14.04	Manage results	The system shall provide the ability to notify the relevant providers (ordering, copy to) that new results have been received. 	2007	P	Examples of notifying the provider include but are not limited to a reference to the new result in a provider "to do" list or inbox.	DC.1.8.3	AMB 4.55														
2011.AM.132	AM 14.05	Manage results	The system shall provide the ability to filter or sort results by type of test and test date.	2007	P		Source is public comments and WG discussion.	AMB 4.16, 4.17														
2011.AM.133	AM 14.07	Manage results	The system shall provide the ability to forward a result to other users.	2007	P		DC.1.8.3	AMB 4.50														
2011.AM.134	AM 14.08	Manage results	The system shall provide the ability to link the results to the original order.	2008	P	"In the current year this link can be effected manually by changing the status of the order from pending to complete.  Future requirements could automate this link for certain electronically received labs although the requirement should not require that all types of  orders be electronically linked to the results since the variety of result formats can be quite large (PT consult, Diabetes education...) and even the variety of lab result formats can be wide.
"	DC.1.8.3	AMB 4.43														
2011.AM.135	AM 14.09	Manage results	The system shall provide the ability for a user to attach a free text comment to a result that can be seen by another user who might subsequently view that result.  	2007	P		DC.1.8.3	AMB 4.47														
2011.AM.136	AM 14.10	Manage results	The system shall provide the ability to associate one or more images with a non-numerical result.	2009	N	Through direct storage or links to the data.	DC.1.8.3	AMB 4.46														
2011.AM.137	AM 14.11	Manage results	The system shall provide the ability for a user to whom a result is presented to acknowledge the result. 	2006	P	This is separate from audit trail.	DC.1.8.3	Does not appear in test script; see Certification Handbook 														
2011.AM.138	AM 15.01	Manage consents and authorizations	The system shall provide the ability to capture scanned paper consent documents (covered in DC.1.1.3.1).	2006	P		DC.1.3.3	AMB 1.32														
2011.AM.139	AM 15.02	Manage consents and authorizations	The system shall provide the ability to store, display and print patient consent forms.  	2007	P	Example:  Consent forms stored in the computer which are capable of being signed by the patient with either an electronic pen or a digital signature once widely available.	DC.1.3.3	AMB 1.31														
2011.AM.140	AM 15.04	Manage consents and authorizations	The system shall provide the ability to store and display administrative documents (e.g. privacy notices).	2008	P	Needed for HIPAA.  Scanned copy is acceptable for current year. 	DC.1.3.3	AMB 1.32														
2011.AM.141	AM 15.05	Manage consents and authorizations	The system shall provide the ability to chronologically display consents and authorizations.	2008	P		DC.1.3.3	AMB 1.35														
2011.AM.142	AM 16.01	Manage patient advance directives	The system shall provide the ability to indicate that a patient has completed advance directive(s).	2006	P	Important for appropriate use of resources at end of life and may just include a yes, no indication.	"DC.1.3.2
"	AMB 4.03														
2011.AM.143	AM 16.02	Manage patient advance directives	The system shall provide the ability to indicate the type of advance directives, such as living will, durable power of attorney, or a "Do Not Resuscitate" order.	2007	P	This may be recorded in non-structured data or as discrete data.	DC.1.3.2	AMB 4.03														
2011.AM.144	AM 16.03	Manage patient advance directives	The system shall provide the ability to indicate when advance directives were last reviewed.	2007	P	This may be recorded in non-structured data or as discrete data.	DC.1.3.2	AMB 4.04														
2011.AM.145	AM 17.01	Support for standard care plans, guidelines, protocols	The system shall have the ability to provide access to standard care plan, protocol and guideline documents when requested at the time of the clinical encounter. These documents may reside within the system or be provided through links to external sources. 	2006	P	"This requirement could be met by simply including links or access to a text document.  Road map would require more comprehensive decision support in the future. This includes the use of clinical trial protocols to ensure compliance.
"	DC.2.2.1.1 	Does not appear in test script; see Certification Handbook 														
2011.AM.146	AM 17.02	Support for standard care plans, guidelines, protocols	The system shall provide the ability to create site-specific care plan, protocol, and guideline documents.	2006	P	This includes the use of clinical trial protocols to ensure compliance. It is expected that in the future discrete data elements from other areas of the chart will populate matching fields.	DC.2.2.1.1 	AMB 1.51														
2011.AM.147	AM 17.03	Support for standard care plans, guidelines, protocols	The system shall provide the ability to modify site-specific standard care plan, protocol, and guideline documents obtained from outside sources.	2007	P		DC.2.2.1.1 	AMB 4.18														
2011.AM.148	FN 12.10	Support for drug interaction	The system shall provide the ability to check for potential interactions between medications to be prescribed and medication allergies and intolerances listed in the record and alert the user at the time of medication prescribing/ordering if potential interactions exist.	2009	N		"Source is WG discussion and cross-group harmonization.
"	AMB 4.27, 4.62														
2011.AM.149	AM 19.05	Support for drug interaction	The system shall provide the ability to set the severity level at which drug interaction warnings should be displayed. 	2006	P		DC.2.3.1.1	AMB ADM.13														
2011.AM.150	FN 12.04	Support for drug interaction	The system shall provide the ability to display, on demand, potential drug-allergy interactions, drug-drug interactions and drug-diagnosis interactions based on current medications, active allergies and active problems.	2009	N		Source is WG discussion and cross-group harmonization.	AMB 4.67														
2011.AM.151	FN 13.01	Support for drug interaction	The system shall provide drug-diagnosis interaction alerts at the time of medication prescribing/ordering.	2009	N		Source is WG discussion and cross-group harmonization.	AMB 4.27														
2011.AM.152	FN 12.11	Support for drug interaction	The system shall provide the ability, when a new allergy is documented, to check for a potential interaction between the newly-documented allergy and the patient's current medications, and alert the user if such interactions exist.	2009	N		Source is WG discussion and cross-group harmonization.	AMB 4.66														
2011.AM.153	FN 12.01	Support for drug interaction	The system shall provide the ability to check for potential interactions between medications to be prescribed/ordered and current medications and alert the user at the time of medication prescribing/ordering if potential interactions exist.	2006	P		"DC.2.3.1.1
"	AMB 4.20, 4.27, 4.62														
2011.AM.154	FN 12.05	Support for drug interaction	The system shall provide the ability to view the rationale for a drug interaction alert.	2008	P		Source is WG discussion and cross-group harmonization.	AMB 4.28														
2011.AM.155	FN 12.06	Support for drug interaction	The system shall provide the ability to capture and maintain at least one reason for overriding any drug-drug or drug-allergy/intolerance interaction warning triggered at the time of medication prescribing/ordering.	2007	P		"Source is WG discussion and cross-group harmonization.
"	AMB 4.29, 4.64														
2011.AM.156	FN 12.07	Support for drug interaction	The system shall provide the ability to enter a structured response when overriding a drug-drug or drug-allergy/intolerance warning.	2009	N		Source is WG discussion and cross-group harmonization.	AMB 4.29, 4.64														
2011.AM.157	FN 12.08	Support for drug interaction	The system shall provide the ability to prescribe/order a medication despite alerts for interactions and/or allergies/intolerances being present.	2008	P		DC.2.3.1.1	AMB 4.20, 4.30, 4.63														
2011.AM.158	FN 12.09	Support for drug interaction	The system shall provide the ability to accept updates to drug interaction databases	2008	P		Source is WG discussion and cross-group harmonization.	SEC 6.24, 6.26														
2011.AM.159	FN 15.01	Manage Medication Administration	"The system shall provide the ability to capture medication administration details as discrete data, including:
(1) the medication name and dose;
(2) date and time of administration;
(3) route and site;
(4) lot number and expiration date;
(5) manufacturer; and
(6) user ID. "	2009	N		Source is WG discussion and cross-group harmonization.	AMB 4.51														
2011.AM.160	FN 16.02	Manage Immunization Administration	The system shall provide the ability to capture, in a discrete field, an allergy/adverse reaction to a specific immunization.	2009	N		Source is WG discussion and cross-group harmonization.	AMB 1.39														
2011.AM.161	FN 16.03	Manage Immunization Administration	"The system shall provide the ability to capture immunization administration details as discrete data, including:
(1) the immunization type and dose; 
(2) date and time of administration; 
(3) route and site; 
(4) lot number and expiration date; 
(5) manufacturer; and
(6) user ID. "	2008	P		"Source is WG discussion and cross-group harmonization.
"	AMB 1.36														
2011.AM.162	AM 21.01	Support for non-medication ordering (referrals, care management)	The system shall provide the ability to create referral orders with detail adequate for correct routing.	2007	P	"This could include referrals to sub-specialists, physical therapy, speech therapy, nutritionists, and other non-medication, non-clinical order.
Adequate detail includes but is not limited to: Date, Patient name and identifier, “Refer to” specialist name, address and telephone number, “Refer to” specialty, Reason for referral and Referring physician name.
"	"DC.2.4.2
"	AMB 2.18														
2011.AM.163	AM 21.02	Support for non-medication ordering (referrals, care management)	The system shall provide the ability to record user ID and date/time stamp for all referral related events.	2007	P	Necessary for medico-legal purposes.	DC.2.4.2	AMB 2.18														
2011.AM.164	AM 22.01	Present alerts for disease management, preventive services and wellness	The system shall provide the ability to establish criteria for disease management, wellness, and preventive services based on patient demographic data (minimally age and gender).	2008	P		DC.2.5.1	AMB 1.12, 4.06														
2011.AM.165	AM 22.02	Present alerts for disease management, preventive services and wellness	The system shall provide the ability to display alerts based on established guidelines.	2008	P	Guidelines may be from national organizations, payers, or internal protocols. 	DC.2.5.1	AMB 1.12														
2011.AM.166	AM 22.03	Present alerts for disease management, preventive services and wellness	The system shall provide the ability to establish criteria for disease management, wellness, and preventive services based on clinical data (problem/diagnosis list, current medications).	2006	P	Lab results in future years	DC.2.5.1	Does not appear in test script; see Certification Handbook 														
2011.AM.167	AM 22.04	Present alerts for disease management, preventive services and wellness	The system shall provide the ability to update disease management guidelines and any associated reference material. 	2008	P	"This allows the system's decision support tools to support changes in best practice guidelines.

Associated reference material can be within the system or accessed through links to external sources."	DC.2.5.1	AMB ADM.10														
2011.AM.168	AM 22.05	Present alerts for disease management, preventive services and wellness	The system shall provide the ability to update preventive services/wellness guidelines and any associated reference material. 	2008	P	Associated reference material can be within the system or accessed through links to external sources.	DC.2.5.1	AMB 4.07														
2011.AM.169	AM 22.06	Present alerts for disease management, preventive services and wellness	The system shall provide the ability to override guidelines.	2008	P	The end user can override guidelines when appropriate to a specific clinical situation.	DC.2.5.1	AMB 4.08														
2011.AM.170	AM 22.07	Present alerts for disease management, preventive services and wellness	The system shall provide the ability to document reasons disease management or preventive services/wellness prompts were overridden.	2007	P	Needed for medico-legal reasons and clinical decision support.	DC.2.5.1	AMB 4.08														
2011.AM.171	AM 22.08	Present alerts for disease management, preventive services and wellness	The system shall provide the ability to modify the rules or parameters upon which guideline-related alerts are based. 	2007	P	This is necessary for modifications as guidelines change or practices wish to adhere to more stringent levels for example, using a HbA1c target of 6.5% instead of 7%.	DC.2.5.1	AMB 4.10														
2011.AM.172	AM 22.09	Present alerts for disease management, preventive services and wellness	The system shall provide the ability to document that a preventive or disease management service has been performed based on activities documented in the record (e.g., vitals signs taken). 	2007	P		DC.2.5.1	AMB 1.37														
2011.AM.173	AM 22.10	Present alerts for disease management, preventive services and wellness	The system shall provide the ability to document that a disease management or preventive service has been performed with associated dates or other relevant details recorded.	2007	P	This could include services performed internally or external to the practice.	DC.2.5.1	AMB 4.09														
2011.AM.174	AM 22.11	Present alerts for disease management, preventive services and wellness	The system shall provide the ability to individualize alerts to address a patient's specific clinical situation.	2007	P	"This is done at the patient level.  Examples include but are not limited to: Remove mammography for woman that has had a mastectomy, Remove annual pap smear alert for a woman who has had a complete hysterectomy or Inactivate an alert for routine colon cancer screening in a patient who is terminally ill.
"	Source is public comments and WG discussion.	AMB 2.09														
2011.AM.175	AM 23.01	Notifications and reminders for disease management, preventive services and wellness	The system shall provide the ability to identify preventive services, tests or counseling that are due on an individual patient.	2006	P		DC.2.5.2 	AMB 1.12														
2011.AM.176	AM 23.02	Notifications and reminders for disease management, preventive services and wellness	The system shall provide the ability to display reminders for disease management, preventive and wellness services in the patient record.	2008	P		DC.2.5.2 	AMB 1.12														
2011.AM.177	AM 23.03	Notifications and reminders for disease management, preventive services and wellness	The system shall provide the ability to identify criteria for disease management, preventive and wellness services based on patient demographic data (age, gender).	2006	P		DC.2.5.2 	AMB 1.12														
2011.AM.178	AM 23.04	Notifications and reminders for disease management, preventive services and wellness	The system shall provide the ability to identify criteria for disease management, preventive, and wellness services based on clinical data (problem/diagnosis list, current medications, lab values).	2007	P		DC.2.5.2 	AMB ADM.09														
2011.AM.179	AM 23.05	Notifications and reminders for disease management, preventive services and wellness	The system shall provide the ability to modify the guidelines, criteria or rules that trigger the reminders. 	2008	P	This refers to any practice defined authorized user.	DC.2.5.2 	AMB 4.82														
2011.AM.180	AM 23.06	Notifications and reminders for disease management, preventive services and wellness	The system shall provide the ability to notify the provider that patients are due or are overdue for disease management, preventive or wellness services.	2006	P		DC.2.5.2 	AMB 1.12														
2011.AM.181	AM 23.07	Notifications and reminders for disease management, preventive services and wellness	The system shall provide the ability to produce a list of patients who are due or are overdue for disease management, preventive or wellness services.	2006	P		DC.2.5.2 	Does not appear in test script; see Certification Handbook 														
2011.AM.182	AM 23.09	Notifications and reminders for disease management, preventive services and wellness	The system shall provide the ability to automatically generate reminder letters for patients who are due or are overdue for disease management, preventive or wellness services.	2009	N	"The term 'automatically' means that the system is able to generate patient recalls for all due or overdue reminders for an individual patient based on the current date, regardless of whether a user initiates this action, or if the action is triggered by pre-set parameters in the system.
An example would be generating a letter to all patients overdue for a screening mammography.
It is acceptable if the output allows generation of letters, such as a mail merge file.
"	"Source is public comments and WG discussion.
"	AMB 4.81														
2011.AM.183	AM 24.01	Clinical task assignment and routing	The system shall provide the ability to create and assign tasks by user or user role.	2006	P	"Examples of tasks are messages, notifications, inbox items, worklist to-do's. This task assignment refers to internal users. External tasks would be handled under ordering section.
"	DC.3.1.1 	AMB 2.19														
2011.AM.184	AM 24.02	Clinical task assignment and routing	The system shall provide the ability to present a list of tasks by user or user role.	2007	P	"Examples of tasks are messages, notifications, inbox items, worklist to-do's. This task assignment refers to internal users. External tasks would be handled under ordering section.
"	DC.3.1.1 	AMB 2.26														
2011.AM.185	AM 24.03	Clinical task assignment and routing	The system shall provide the ability to re-assign and route tasks from one user to another user.	2007	P		DC.3.1.1 	AMB 2.27, 2.30														
2011.AM.186	AM 24.04	Clinical task assignment and routing	The system shall provide the ability to designate a task as completed.	2006	P		DC.3.1.1 	AMB 2.30														
2011.AM.187	AM 24.05	Clinical task assignment and routing	The system shall provide the ability to remove a task without completing the task.	2006	P	Removing a task eliminates it from an individual user's "to do" list, not from audit logs, etc.	DC.3.1.1 	Does not appear in test script; see Certification Handbook 														
2011.AM.188	AM 25.01	Inter-provider communication	The system shall provide the ability to document verbal/telephone communication into the patient record. 	2006	P		DC.3.2.1 	Does not appear in test script; see Certification Handbook 														
2011.AM.189	AM 25.03	Inter-provider communication	The system shall support messaging between users.	2006	P	"Results and other patient data could be included.
As clarification, messaging is defined as any text string sent from one person to another in the office.
"	DC.3.2.1 	Does not appear in test script; see Certification Handbook 														
2011.AM.190	AM 26.01	Pharmacy communication	The system shall have the ability to provide electronic communication between prescribers and pharmacies or other intended recipients of the medication order.	2006	P	   	DC.3.2.2	AMB 1.45														
2011.AM.191	AM 27.01	Provider demographics	The system shall provide the ability to maintain a directory of all clinical personnel who currently use or access the system.	2006	P		S.1.3.1	SEC 5.04, 5.09														
2011.AM.192	AM 27.02	Provider demographics	The system shall provide the ability to maintain a directory which contains identifiers required for licensed clinicians to support the practice of medicine including at a minimum state medical license, DEA, and NPI. 	2007	P	This directory may be the same as that in criterion AM 27.01 for this functionality.	S.1.3.1	AMB ADM.11														
2011.AM.193	AM 27.03	Provider demographics	The system shall allow authorized users to update the directory.	2006	P		S.1.3.1	SEC 5.41														
2011.AM.194	AM 27.04	Provider demographics	The system shall provide the ability to create and maintain a directory of clinical personnel external to the organization who are not users of the system to facilitate communication and information exchange.	2007	P	This directory may be the same as that in criterion AM 27.01 for this functionality.	S.1.3.1	AMB ADM.12														
2011.AM.195	AM 28.01	Scheduling	The system shall provide the ability to display a schedule of patient appointments, populated either through data entry in the system itself or through an external application interoperating with the system.	2006	P		S.1.6	Does not appear in test script; see Certification Handbook 														
2011.AM.196	AM 29.01	Report generation	The system shall provide the ability to generate reports of clinical and administrative data using either internal or external reporting tools.	2007	P	Needed for pay for performance, quality improvement activities. All data that is entered in a structured format should be individually reportable.	"S.2.2
"	AMB 4.72, 4.74														
2011.AM.197	AM 29.02	Report generation	The system shall provide the ability to generate reports consisting of all or part of an individual patient’s medical record (e.g. patient summary).	2006	P	Report format may be plain text.	"S.2.2
"	AMB 1.38, 4.38														
2011.AM.198	AM 29.03	Report generation	The system shall provide the ability to generate reports regarding multiple patients (e.g. diabetes roster).	2007	P	Any disease registry might be included.	"S.2.2
"	AMB 4.72														
2011.AM.199	AM 29.04	Report generation	The system shall provide the ability to specify report parameters (sort and filter criteria) based on patient demographic and clinical data (e.g., all male patients over 50 that are diabetic and have a HbA1c value of over 7.0 or that are on a certain medication).	2007	P	Minimum demographic data are age and gender.  	S.2.2	AMB 4.72, 4.76														
2011.AM.200	AM 29.05	Report generation	The system shall provide the ability to access reports outside the EHR application.	2006	P	For example, printed output, export to a file, etc.	S.2.2	AMB 1.38														
2011.AM.201	AM 29.06	Report generation	The system shall provide the ability to produce reports based on the absence of a clinical data element (e.g., a lab test has not been performed or a blood pressure has not been measured in the last year).	2009	N		"S.2.2
"	AMB 4.80														
2011.AM.202	AM 29.07	Report generation	The system shall provide the ability to save report parameters for generating subsequent reports.	2007	P		S.2.2	AMB 4.77, 4.78														
2011.AM.203	AM 29.08	Report generation	The system shall provide the ability to modify one or more parameters of a saved report specification when generating a report using that specification. 	2008	P	It is acceptable if a 3rd-party reporting tool or application is used.	S.2.2	AMB 4.79														
2011.AM.204	AM 30.01	Health record output	The system shall provide the ability to define one or more reports as the formal health record for disclosure purposes.	2007	P	This allows the practice to not print demographics, certain confidential sections, or other items.  Report format may be plain text initially.  In the future there will be a need for structured reports as interoperability standards evolve.	S.2.2.1	AMB 4.83														
2011.AM.205	AM 30.02	Health record output	The system shall provide the ability to generate hardcopy or electronic output of part or all of the individual patient's medical record.	2006	P	This could include but is not limited to the ability to generate standardized reports needed for work, school, or athletic participation.	S.2.2.1	AMB 1.38, 4.38														
2011.AM.206	AM 30.03	Health record output	The system shall provide the ability to generate hardcopy and electronic output by date and/or date range.	2007	P	It is not required that output by date or date range includes items that are not date specific.  	S.2.2.1	AMB 4.75														
2011.AM.207	AM 30.04	Health record output	The system shall provide the ability to export structured data which removes those identifiers listed in the HIPAA definition of a limited dataset.  This export on hardcopy and electronic output shall leave the actual PHI data unmodified in the original record.  	2008	P	"De-identifying data on hardcopy or electronic output is necessary for research.  However, it must be emphasized that this function is not intended to cleanse the text in the note or data in the original record.
As per HIPAA Standards for Privacy of Individually Identifiable Health Information, 45 CFR Parts 160 and 164, identifiers that shall be removed are:
1. Names;
2. Postal address information, other than town or city, state and zip code;
3. Telephone numbers;
4. Fax numbers;
5. Electronic mail addresses;
6. Social security numbers;
7. Medical record numbers;
8. Health plan beneficiary numbers;
9. Account numbers;
10. Certificate/license numbers;
11. Vehicle identifiers and serial numbers, including license plate numbers;
12. Device identifiers and serial numbers;
13. Web Universal Resource Locators (URLs);
14. Internet Protocol (IP) address numbers;
15. Biometric identifiers, including finger and voice prints; and 
16. Full face photographic images and any comparable images.
"	S.2.2.1	AMB 4.78														
2011.AM.208	AM 30.05	Health record output	The system shall provide the ability to create hardcopy and electronic report summary information (procedures, medications, labs, immunizations, allergies, and vital signs).	2006	P	The report that's produced should be organized by section to make it easier to read.	S.2.2.1	AMB 1.38														
2011.AM.209	AM 30.06	Health record output	The system shall have the ability to provide support for disclosure management in compliance with HIPAA and applicable law.	2007	P	"This criterion may be satisfied by providing the ability to create a note in the patient's record.  More advanced functionality may be market differentiators or requirements in later years.
"	Source is public comments and WG discussion.	AMB 4.84														
2011.AM.210	AM 31.02	Encounter management	The system shall provide the ability to document encounters by one or more of the following means: direct keyboard entry of text; structured data entry utilizing templates, forms, pick lists or macro substitution; dictation with subsequent transcription of voice to text, either manually or via voice recognition system.	2006	P	This does not preclude entry via new technologies.	S.3.1	Does not appear in test script; see Certification Handbook 														
2011.AM.211	AM 31.03	Encounter management	The system shall provide the ability to associate individual encounters with diagnoses.	2006	P		S.3.1	Does not appear in test script; see Certification Handbook 														
2011.AM.212	AM 31.04	Encounter management	The system shall have the ability to provide filtered displays of encounters based on encounter characteristics, including date of service, encounter provider and associated diagnosis.	2007	P		S.3.1	AMB 4.69														
2011.AM.216	AM 33.01	Eligibility verification and determination of coverage	The system shall provide the ability to display medical eligibility obtained from patient's insurance carrier, populated either through data entry in the system itself or through an external application interoperating with the system.	2007	P	"The EHR need only provide information for the physician as to whether the patient is covered by that insurance plan.  At this time this can be accomplished by a text note following telephone verification. In the future this data will need to be structured in compliance with evolving interoperability standards.
"	S.3.3.2	AMB 4.02														
2011.AM.217	AM 34.02	Manage Practitioner/Patient relationships	The system shall provide the ability to specify the role of each provider associated with a patient, such as encounter provider, primary care provider, attending, resident, or consultant using structured data.	2009	N	This is simply meant as a means to define the provider role.  Display of that data is not addressed.	S.3.4	AMB ADM.08														
2011.AM.218	AM 35.01	Clinical decision support system guidelines updates	The system shall provide the ability to update the clinical content or rules utilized to generate clinical decision support reminders and alerts.	2006	P	"Growth charts, CPT-4 codes, drug interactions would be an example.  Any method of updating would be acceptable. Content could be third party or customer created.
"	"S.3.7.1
"	SEC 6.24														
2011.AM.219	AM 35.02	Clinical decision support system guidelines updates	The system shall provide the ability to update clinical decision support guidelines and associated reference material.	2006	P	Any method of updating would be acceptable. Content could be third party or customer created.	S.3.7.1	AMB 4.07														
2011.AM.220	FN 18.02	Clinical decision support system guidelines updates	The system shall provide the ability to capture and maintain, as discrete data, the reason for variation from rule-based clinical messages (for example alerts and reminders).	2009	N	An example would be "patient refused."	Source is WG discussion and cross-group harmonization.	AMB 4.08														
2011.AM.221	AM 36.02	Enforcement of confidentiality	The system shall provide a means to document a patient's dispute with information currently in their chart.	2008	P	"This does not imply that the patient can document directly in their chart. Some methods include but are not limited to allowing the patient a view only access to their record, printing a copy of the record for a patient to review. Methods to include the information in the chart could be as a note, a scanned copy of patient comments, an addendum to the note or other method not described.
"	I.1.9	AMB 2.11														
2011.AM.222	AM 36.04	Enforcement of confidentiality	The system shall provide the ability to identify certain information as confidential and only make that accessible by appropriately authorized users.	2008	P	"This may be implemented by having a ""confidential"" section of the chart.  In the future such confidential designation will be required at the data element level, e.g., individual problems on the problem list, medications, allergies, results, etc.
"	I.1.9	AMB 2.20, 2.31														
2011.AM.223	AM 36.05	Enforcement of confidentiality	The system shall provide the ability to prevent specified user(s) from accessing a designated patient's chart.	2009	N	An example would be to block a user who has a personal relationship with a patient from accessing that patient's chart.	I.1.9	AMB 1.58														
2011.AM.224	AM 36.06	Enforcement of confidentiality	When access to a chart is restricted, the system shall provide a means for appropriately authorized users to "break the glass" for emergency situations.	2009	N		Source is public comments and WG discussion.	AMB 1.59														
2011.AM.225	AM 37.01	Data retention, availability and destruction	The system shall provide the ability to retain data until otherwise purged, deleted, archived or otherwise deliberately removed.	2006	P		I.2.1	SEC 6.11														
